id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
10,2026-01-24,2281,69,13,3,79138.0,67.44,2071000.0
26,2025-07-29,2295,71,11,4,61446.0,149.78,3667097.0
45,2025-12-11,2278,66,3,11,153937.0,24041.0,114.73226
49,2025-08-11,1122,2,14,4,33732.0,6959.0,4721014.0
50,2025-02-22,717,49,15,10,51878.0,86.45,66871.99
66,2025-03-04,1352,21,12,6,77633.0,14721.0,11282912.0
74,2025-01-04,2814,64,5,7,1.80988,35853.0,27978246.0
82,2025-07-18,2392,21,3,4,0.0,8363.0,33.86699
99,2025-05-12,490,57,1,1,71612.0,15979.0,2392967.0
104,2025-10-20,3524,7,11,8,14944.0,1064.0,17.92505
140,2025-02-17,1227,48,8,5,1435.54,16356.0,44.22555
159,2025-09-04,1637,5,2,5,74878.0,82.65,84.10056
164,2026-01-16,851,50,13,9,50192.0,62.0,8105940.0
166,2025-05-09,2302,35,4,12,1924.36,40910.0,50238.7
185,2026-01-04,1468,27,7,12,1852.09,24381.0,347.31623
190,2025-12-07,2854,70,13,4,95396.0,,93787.36
191,2025-11-12,837,34,12,3,1.07604,17348.0,14463986.0
200,2026-02-12,239,79,11,1,121897.0,18178.0,225902.31
204,2025-11-27,2424,50,5,7,1614.32,38818.0,8034781.0
221,2025-03-15,2725,80,11,1,616.19,7506.0,11546432.0
230,2025-12-19,1245,6,13,3,23850.0,,4471894.0
277,2025-06-04,2165,16,13,12,113.44,1106.0,2202853.0
280,2025-06-22,1387,76,1,4,15459.0,2360.0,1909708.0
285,2025-07-06,2457,37,9,5,1159.92,22902.0,11962501.0
288,2025-07-06,1378,72,4,5,73872.0,12890.0,59480.36
322,2025-08-19,454,75,11,3,85081.0,,16682237.0
327,2025-06-30,184,7,8,6,25639.0,3677.0,1738916.0
330,2025-07-15,2011,15,10,2,115876.0,,14314774.0
336,2025-11-26,1444,54,3,10,550.34,49.47,2095452.0
338,2025-06-28,1141,75,3,2,184560.0,9280.0,319.55479
356,2025-10-31,729,63,14,7,1.51729,,224.14006
360,2025-04-12,3666,59,7,9,861.49,,36651.44
414,2025-08-15,2278,72,11,12,86796.0,13206.0,14764990.0
422,2025-08-07,181,4,8,5,188035.0,13137.0,131698.52
429,2026-01-04,1774,50,7,5,98728.0,127.17,119643.51
431,2025-03-27,21,56,2,11,141467.0,173.1,3862985.0
435,2025-12-31,365,31,6,6,1939.31,,357795.18
438,2025-08-11,1972,73,12,10,-177857.0,,295.73623
441,2026-01-10,539,50,3,6,0.0,8186.0,99567.79
443,2025-10-17,2491,60,1,3,56675.0,2878.0,105991.94
445,2025-04-26,1383,42,5,9,1.85717,,350.57741
461,2025-08-09,1607,49,10,5,1.39127,131.33,26054491.0
483,2025-10-18,1785,66,9,7,190665.0,335.86,68871.39
487,2025-06-15,777,20,1,10,183894.0,32590.0,25005890.0
488,2025-03-29,2538,78,15,4,46917.0,,6854842.0
498,2025-06-07,843,7,14,11,18847.0,1955.0,1787398.0
514,2026-01-18,687,3,5,1,104669.0,8180.0,9589463.0
515,2025-03-15,2136,23,11,7,180877.0,45096.0,32695013.0
526,2026-02-08,284,65,10,8,1.53608,26086.0,12656835.0
549,2025-03-01,2373,37,2,3,129238.0,7255.0,114.91208
556,2025-09-23,2075,41,5,7,91000.0,,56167.62
557,2025-02-23,863,14,10,9,670.02,11059.0,73438.18
560,2026-01-08,2145,74,6,2,0.0,369.91,304333.91
566,2025-02-18,2845,40,6,4,93258.0,189.41,78.31801
577,2025-08-07,2064,75,12,7,1325.78,9078.0,61776.9
596,2025-01-04,2287,14,9,1,426.27,6537.0,24692.57
599,2025-04-28,2512,29,1,4,1914.82,38789.0,161.65162
605,2025-10-03,1360,57,9,12,86818.0,,34.61239
606,2025-09-09,2303,80,11,9,1042.34,24220.0,51730.17
610,2026-01-19,1252,20,8,4,149815.0,15240.0,18871337.0
619,2025-06-16,960,23,5,3,127306.0,22964.0,18394329.0
628,2025-09-07,2464,32,1,12,7770.0,,6080.3
635,2025-04-26,95,61,3,5,1792.02,440.47,21408388.0
637,2025-12-12,2618,61,9,9,73810.0,1.12807,8251243.0
638,2025-08-12,2820,21,3,4,857.92,83.38,14165639.0
642,2025-06-01,7,71,4,9,538.13,62394.0,92.7269
646,2025-05-07,1510,65,13,10,656.59,13169.0,19.74759
666,2025-04-10,1930,34,7,1,35538.0,,55.58571
671,2025-01-26,2212,62,6,7,149307.0,31917.0,28301651.0
672,2025-10-15,2629,72,15,11,165621.0,24395.0,179.74523
675,2025-01-05,1309,1,5,8,30460.0,4062.0,40.32187
679,2025-04-24,2080,36,9,8,91653.0,116.12,152755.89
689,2025-01-18,1858,4,6,2,1.60513,,15019888.0
698,2025-11-29,1427,65,1,11,48927.0,8860.0,2838247.0
700,2026-01-30,167,5,5,6,0.0,10712.0,68.41382
706,2025-05-26,1414,65,12,11,32970.0,7602.0,3116843.0
720,2025-08-07,2627,13,13,4,70783.0,17065.0,3013025.0
726,2026-01-30,1507,38,4,11,21637.0,34.06,3499441.0
733,2025-04-26,1495,77,6,2,97009.0,13236.0,8252750.0
740,2025-12-07,2140,12,8,3,10775.0,10.65,8320.69
752,2026-01-12,2688,7,7,9,1.60817,10904.0,67.69248
755,2025-12-13,1268,20,1,10,542.63,3090.0,68862.65
764,2025-07-02,1319,65,9,3,1.71541,,20468023.0
773,2025-02-13,1516,42,7,8,1.60525,17035.0,19506320.0
781,2025-11-20,521,35,12,11,137736.0,280.27,258994.33
783,2026-02-14,2061,64,9,1,130584.0,18976.0,8344695.0
785,2025-08-10,1742,52,13,1,1.39954,9282.0,5834465.0
801,2025-07-25,649,46,1,6,73738.0,6016.0,73.61454
803,2025-09-17,1998,62,5,8,158748.0,2167.83,207.93412
819,2025-03-04,1881,11,6,1,10713.0,1595.0,241069.0
836,2025-10-25,2473,28,4,3,97200.0,,4487905.0
843,2026-01-13,657,60,6,8,148070.0,,283.44368
860,2025-07-19,2608,5,10,7,197.16,33.71,5230.01
879,2025-02-25,2781,76,9,11,48784.0,7385.0,4157274.0
882,2025-07-14,1478,7,3,2,161512.0,33975.0,26077928.0
893,2025-06-14,835,38,3,9,121300.0,29135.0,179137.64
896,2025-02-05,610,20,10,9,47703.0,72.81,74.02202
900,2025-08-04,1336,8,10,5,135671.0,11333.0,22500150.0
906,2025-04-12,343,47,2,12,1583.43,35306.0,5799395.0
955,2025-04-03,1676,30,3,12,97794.0,81.64,6611344.0
966,2025-12-04,2375,24,6,12,1032.51,10306.0,19396145.0
979,2025-07-12,1306,105,14,2,7960.0,,1381688.0
997,2025-12-21,1248,51,14,4,22938.0,5654.0,3669787.0
998,2025-04-30,928,72,7,4,159268.0,117.66,3482096.0
1003,2025-02-17,2670,23,8,8,1637.64,32040.0,28093095.0
1008,2025-04-03,1405,56,3,9,-1353.29,18211.0,209259.39
1014,2025-09-16,1236,78,8,6,799.9,9520.0,14905360.0
1015,2025-01-16,2369,45,2,9,1033.94,12479.0,103.48249
1016,2026-01-07,2088,32,10,8,1060.94,5562.0,18429487.0
1028,2026-01-29,2004,78,2,1,164576.0,332.76,245.05891
1030,2025-07-21,1920,45,6,5,92101.0,83.32,13594327.0
1032,2026-02-05,1058,71,15,11,197863.0,104.08,356202.51
1038,2025-11-26,400,80,10,7,147037.0,25913.0,8829575.0
1044,2025-05-16,2156,20,7,3,90425.0,20902.0,5442146.0
1065,2025-12-03,2527,17,6,6,198919.0,45936.0,31168497.0
1068,2025-09-06,1184,59,7,4,190766.0,46053.0,36227716.0
1072,2025-04-25,185,7,1,3,719.64,,97434.5
1091,2025-06-05,1032,59,15,6,10114.0,1426.0,7750.81
1099,2025-08-29,2966,21,7,2,100527.0,23775.0,16137541.0
1102,2025-06-03,305,22,5,6,1.85266,,366.31275
1156,2025-01-31,1585,9,5,7,10749.0,15.96,708197.0
1162,2025-08-17,256,35,14,4,1.04731,121.73,157185.5
1171,2025-04-03,272,72,2,10,69983.0,9722.0,112.52833
1178,2025-10-05,3761,8,10,10,1.48883,,6579173.0
1181,2025-01-01,1466,64,5,4,41224.0,,1623821.0
1184,2025-01-10,2557,50,5,4,123651.0,15182.0,21272114.0
1195,2026-01-20,2882,5,10,7,1511.44,,6709949.0
1197,2025-04-24,2247,25,7,9,64949.0,70.59,48.91359
1205,2025-08-07,218,40,10,8,82903.0,196.49,8716907.0
1214,2025-10-03,2147,10,7,2,1075.86,212.98,160.33816
1217,2025-01-11,292,63,4,2,1563.64,16018.0,7387174.0
1264,2025-04-18,609,80,10,7,99807.0,,16781075.0
1276,2026-02-10,218,72,3,5,22393.0,1304.0,21497.96
1282,2025-11-07,182,77,11,1,132705.0,23146.0,11377999.0
1290,2025-10-15,726,80,6,7,1876.63,243.12,5912832.0
1340,2026-01-20,1374,22,13,3,62378.0,,9018307.0
1351,2025-02-16,1869,10,14,4,177507.0,,33891302.0
1369,2025-11-06,2599,20,11,1,194773.0,2417.69,33389858.0
1373,2025-09-07,923,18,13,1,1.3708,16063.0,167.03857
1382,2025-03-04,2010,31,11,4,761.44,67.94,34.70069
1383,2025-10-11,2030,71,8,2,94234.0,6002.0,73746.03
1395,2025-01-04,22,9,9,11,1.38848,7157.0,15614296.0
1410,2025-09-13,2934,80,8,9,112076.0,27751.0,9295374.0
1444,2025-01-04,224,4,7,10,1.72441,39829.0,246822.17
1449,2025-05-01,31,24,9,5,16000.0,1262.0,1767080.0
1454,2025-09-06,2203,74,4,8,116722.0,28419.0,145966.4
1463,2025-08-06,1776,47,10,10,178443.0,30988.0,50.31913
1480,2025-03-22,1914,33,15,1,141628.0,9623.0,19523495.0
1497,2025-04-15,831,22,15,8,116.81,,19470.94
1500,2025-10-07,2369,43,9,7,1239.16,212.62,245.30203
1528,2025-01-11,2563,44,1,8,1.51843,,29261075.0
1537,2025-12-09,3821,6,6,2,7462.0,1594.0,11.45921
1569,2025-08-18,2326,31,5,7,109941.0,8299.0,151116.55
1587,2026-01-02,1781,62,4,1,150663.0,,176.05143
1588,2025-05-19,844,12,15,3,1.37668,31093.0,6451962.0
1604,2025-11-03,354,16,9,7,36722.0,72.1,4036629.0
1606,2026-01-31,1387,59,6,2,1896.52,175.23,211678.11
1624,2025-10-03,1738,48,14,10,92734.0,16945.0,7192047.0
1628,2025-06-20,2048,51,10,4,15756.0,2435.0,9.25694
1629,2025-04-07,2806,11,6,12,599.97,,4370684.0
1642,2025-02-25,574,66,13,12,1.82472,168.57,326778.47
1654,2026-01-28,591,26,11,6,137354.0,20359.0,47744.18
1657,2026-01-31,3761,14,8,2,1584.59,,14001768.0
1664,2025-01-29,1538,15,2,6,642.6,,12832678.0
1670,2025-10-29,690,50,13,7,61172.0,12384.0,104283.13
1680,2025-07-27,1422,72,2,2,199604.0,,31193891.0
1684,2025-02-18,2231,48,4,4,27073.0,17.73,25.08298
1685,2025-12-18,437,66,5,9,187058.0,410.98,117463.94
1686,2025-09-24,1913,9,7,7,42851.0,7383.0,6400148.0
1691,2025-02-16,1649,50,5,4,197669.0,36058.0,10806689.0
1713,2025-03-25,413,51,13,12,1487.63,344.03,23819571.0
1717,2025-12-28,571,120,1,11,1.77876,,14748930.0
1721,2025-12-20,966,30,1,10,1.39859,,105.97944
1749,2025-12-26,1495,73,14,10,95181.0,,4943188.0
1761,2025-07-20,2286,50,8,10,-1.55288,30924.0,6618400.0
1762,2025-07-12,350,72,3,6,195459.0,,354.94473
1764,2025-12-30,1330,14,10,4,42439.0,,6936992.0
1775,2025-06-17,2921,52,1,12,31084.0,6760.0,1931500.0
1782,2025-03-18,1937,59,1,2,186427.0,221.58,354.0741
1788,2026-02-03,1696,45,1,3,173403.0,297.88,126.7574
1793,2025-10-23,2293,24,15,4,1238.61,,219.27404
1794,2025-07-04,1501,46,11,11,1967.46,12514.0,62858.57
1800,2025-07-14,1029,67,11,8,326.35,3200.0,5109771.0
1803,2025-05-01,2786,18,15,4,172084.0,,311885.3
1810,2025-04-15,894,60,4,11,630.22,,6568643.0
1832,2025-12-23,662,77,7,8,101978.0,15125.0,7826243.0
1833,2025-08-03,1639,30,4,5,41030.0,6254.0,1076782.0
1843,2026-02-15,2054,73,11,4,131701.0,7374.0,5366670.0
1848,2025-03-16,1900,19,4,6,32151.0,3346.0,62202.18
1850,2025-07-12,2349,79,5,9,527.38,,5920158.0
1868,2026-02-11,2906,70,11,2,16319.0,1121.0,3163645.0
