id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
1,,184,42,15,2,829.53,,13925311.0
2,2026-02-16,2408,35,11,12,,12.22,27544.32
3,,540,42,4,9,161153.0,92.05,173.29836
4,,2821,40,10,5,186662.0,45699.0,24446127.0
5,,945,23,9,11,,324.08,12340775.0
6,,1295,17,1,1,94349.0,,7196843.0
7,,1254,25,11,4,140082.0,18840.0,25820293.0
8,,887,77,3,8,167056.0,25875.0,
9,,1670,66,8,12,,131.85,12580484.0
11,,2590,25,8,4,,,
12,,1521,14,11,5,72602.0,,8621665.0
13,,1527,9,14,9,70837.0,105.04,27.04254
14,,367,65,1,11,0.0,12212.0,24950431.0
15,,1954,62,13,4,85.94,,7.57433
16,,424,19,5,11,,3907.0,
17,,856,73,14,8,83285.0,,9467598.0
18,,123,75,2,5,,3957.0,36567.17
19,,1693,50,3,9,125743.0,23720.0,10645495.0
20,,522,32,1,3,48769.0,117.43,
21,,179,34,2,9,1.70914,1.96314,
22,,2160,71,5,5,,172.42,124757.66
23,,61,19,3,5,1403.46,112.05,16364961.0
24,,302,15,15,9,,898.0,1586544.0
25,,101,34,8,2,,286.75,26994216.0
27,,352,30,3,6,-129055.0,17937.0,16222775.0
28,,1213,65,8,9,46473.0,25.26,1804173.0
29,,1101,7,8,12,,5406.0,
30,,2493,14,12,4,81671.0,19922.0,106.72498
31,2025-08-07,1847,45,4,2,,229.13,117309.88
32,2025-07-28,388,22,6,4,82252.0,,
33,,1034,67,2,8,7363.0,1325.0,6.84404
34,,1969,41,10,5,,25653.0,20210744.0
35,,1139,79,1,3,1.84773,19144.0,
36,,2313,53,12,6,77935.0,6418.0,95204.18
37,,2846,75,10,3,80022.0,10470.0,6612782.0
38,,2327,39,13,7,,113.68,156.12402
39,,629,62,11,7,,20636.0,7558463.0
40,,25,47,6,9,130011.0,18922.0,
41,,3651,48,13,5,816.63,10627.0,13680990.0
42,,2455,31,5,11,308.02,58.25,60.61648
43,,2657,8,6,1,-126122.0,106.86,24881874.0
44,,1701,10,14,10,94636.0,15366.0,15312165.0
46,,2761,28,2,1,564.21,57.82,2396561.0
47,,2482,18,3,2,1555.6,24277.0,6925265.0
48,2025-07-16,259,29,14,1,,4688.0,5568851.0
51,,2801,67,5,4,1612.8,32159.0,156.85581
52,,1746,33,1,10,142969.0,7850.0,17320287.0
53,,1962,79,1,3,0.0,30578.0,26591568.0
54,,2969,3,4,3,42101.0,6389.0,1391137.0
55,,2340,26,10,6,195465.0,43108.0,15021971.0
56,,2767,28,7,8,73.11,,7.06428
57,,852,4,13,1,,,213.05132
58,,454,6,15,8,,21326.0,78.05576
59,,1934,18,1,2,125351.0,,14926092.0
60,,3686,51,6,2,,,28.10281
61,,1759,23,4,12,14293.0,1314.0,3134.79
62,,584,36,4,8,69524.0,6323.0,28.26223
63,,3691,55,10,7,-168049.0,24241.0,23811036.0
64,,1081,75,8,1,109.72,1748.0,
65,,697,67,1,10,30271.0,46220.0,25.59706
67,,1246,31,6,5,,35979.0,25857008.0
68,,475,43,13,3,1.64329,18712.0,23572694.0
69,,2178,76,1,4,,2056.0,7505.94
70,,730,78,15,4,,14622.0,147931.73
71,,3656,77,10,2,25860.0,22.67,26081.96
72,,2797,14,2,7,51.1,838.0,9.22848
73,2025-03-01,841,26,7,12,,,33.0239
75,,1345,51,15,1,,,
76,,2671,14,9,5,1.56309,38113.0,
77,,2386,79,14,12,132427.0,14493.0,9244033.0
78,,698,55,3,7,129849.0,305.47,92.53775
79,,2375,66,4,10,1055.66,,14212295.0
80,,914,64,6,7,1.34869,28252.0,4446335.0
81,,2745,13,13,11,168838.0,,151.66262
83,,357,18,15,11,1.61227,182.21,
84,,772,18,3,4,572.28,8439.0,4152661.0
85,,151,6,7,2,96701.0,6259.0,9211486.0
86,,3714,32,15,11,121428.0,29302.0,56.51926
87,,2217,98,11,12,1283.02,,9402885.0
88,,1671,28,12,6,88597.0,13285.0,95.42955
89,,2963,77,1,5,137283.0,,34.68004
90,,753,20,1,10,91604.0,21965.0,12987269.0
91,,2778,14,3,1,15884.0,2650.0,914622.0
92,,2659,25,11,4,,32508.0,19158282.0
93,,919,4,8,2,361.25,8451.0,996410.0
94,,222,41,5,10,1.14134,16915.0,
95,,106,11,3,7,195328.0,31386.0,35603727.0
96,,1708,3,11,7,177793.0,,176358.08
97,,2027,71,15,9,55870.0,7727.0,92.67907
98,,2106,65,10,8,190932.0,15395.0,14345997.0
100,,2627,52,7,5,1998.94,48751.0,
101,,976,48,11,11,,12552.0,9371330.0
102,,5,66,13,12,138605.0,204.0,25186493.0
103,,927,29,7,9,117901.0,23156.0,15029839.0
105,,2797,80,3,1,209.72,5200.0,
106,,2438,58,12,5,54609.0,110.32,4498621.0
107,,1165,15,6,12,,5004.0,8747259.0
108,,1620,74,13,11,123545.0,15550.0,50330.02
109,,2693,6,13,6,,18448.0,96331.45
110,,185,46,8,5,,3143.0,7443527.0
111,,2833,8,15,12,,22280.0,18563748.0
112,,1463,74,7,2,102516.0,9424.0,171.58325
113,2025-12-03,1715,34,3,6,,,
114,,1155,61,11,5,123726.0,,12426317.0
115,,739,11,5,7,20312.0,1760.0,
116,,2659,80,8,10,1.98664,307.82,37612557.0
117,,2501,18,12,10,,2636.59,18809937.0
118,,2114,78,1,2,34872.0,3688.0,6832879.0
119,,1678,71,13,7,,,58628.84
120,,419,49,1,3,142778.0,,265.97338
