id_siniestro,id_poliza,fecha_siniestro,monto_siniestro,estado,fecha_siniestro_dt,monto_siniestro_num,motivo_rechazo
4,14299,27/09/2025,274.63,Abierto,,274.63,fecha_invalida
6,5107,2026/02/10,"10,535.74",,,10535.74,"fecha_invalida, estado_nulo"
7,3379,2025/08/16,"10,513.30",Abierto,,10513.3,fecha_invalida
9,18118,2025/08/27,nan,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
10,19947,2025/09/12,8801.03,Cerrado,,8801.03,fecha_invalida
11,6448,31/05/2025,"1.619,38",Abierto,,1619.38,fecha_invalida
12,4096,23/02/2026,nan,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
13,3716,13-07-2025,-4274.39,Rechazado,2025-07-13,-4274.39,monto_no_positivo
14,8260,2025-09-08,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
15,19142,2025/01/29,14533.77,Abierto,,14533.77,fecha_invalida
16,16312,2025/10/02,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
17,2112,2025-08-01,"11.995,56",Cerrado,,11995.56,fecha_invalida
18,4445,05-23-25,-,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
19,5547,2025-10-10,5714.06,Cerrado,,5714.06,fecha_invalida
20,21508,08-29-25,8867.02,,,8867.02,"fecha_invalida, estado_nulo"
21,8637,2025-06-06,"4,335.01",Abierto,,4335.01,fecha_invalida
22,6924,16/11/2025,10436.86,Cerrado,,10436.86,fecha_invalida
23,5261,10-15-25,6636.22,Abierto,,6636.22,fecha_invalida
25,719,25/12/2025,3257.92,,,3257.92,"fecha_invalida, estado_nulo"
26,7930,2025-12-10,1326.94,Abierto,,1326.94,fecha_invalida
27,22625,07-03-2025,141.77,,2025-03-07,141.77,estado_nulo
28,3123,10-08-25,nan,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
29,18397,2025-12-19,1485.06,Abierto,,1485.06,fecha_invalida
30,20396,30/09/2025,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
31,14500,17/01/2026,-,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
32,20349,06-13-25,"-6,166.30",,,-6166.3,"fecha_invalida, monto_no_positivo, estado_nulo"
34,14393,2025/03/30,-,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
35,15273,2025-01-03,"13,959.68",Cerrado,,13959.68,fecha_invalida
37,504,2025-09-15,"1.143,51",Rechazado,,1143.51,fecha_invalida
38,1202,21/10/2025,"2,154.09",Cerrado,,2154.09,fecha_invalida
39,551,2025/03/26,-,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
40,8220,04-30-25,"1.081,73",Cerrado,,1081.73,fecha_invalida
41,4657,2025/12/25,"9.268,60",,,9268.6,"fecha_invalida, estado_nulo"
42,3586,31/01/2026,"11,247.07",,,11247.07,"fecha_invalida, estado_nulo"
43,11680,05-13-25,10535.93,Cerrado,,10535.93,fecha_invalida
44,17906,22/06/2025,"8.580,31",Abierto,,8580.31,fecha_invalida
46,2860,13/07/2025,-,Rechazado,,,"fecha_invalida, monto_nulo_o_no_numerico"
47,6904,2025/04/08,7795.35,Abierto,,7795.35,fecha_invalida
48,503,08-29-25,"3,740.29",Rechazado,,3740.29,fecha_invalida
49,12852,2025-01-11,4828.13,,,4828.13,"fecha_invalida, estado_nulo"
50,25778,2025-10-18,11437.50,,,11437.5,"fecha_invalida, estado_nulo"
51,1344,15/08/2025,"14,278.06",,,14278.06,"fecha_invalida, estado_nulo"
52,22187,08-19-25,"4,886.00",Cerrado,,4886.0,fecha_invalida
53,11106,06-23-25,2182.44,Cerrado,,2182.44,fecha_invalida
54,14544,07-27-25,"2,132.56",Cerrado,,2132.56,fecha_invalida
55,19232,2025/03/25,"5,517.33",,,5517.33,"fecha_invalida, estado_nulo"
56,14610,27/11/2025,nan,Abierto,,,"fecha_invalida, monto_nulo_o_no_numerico"
57,11757,09-04-25,"3.215,08",Cerrado,,3215.08,fecha_invalida
58,9803,23/03/2025,-,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
59,4806,16/01/2025,"2,856.71",Cerrado,,2856.71,fecha_invalida
60,15711,2025/08/31,2916.65,Cerrado,,2916.65,fecha_invalida
61,16070,2025/12/06,-,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
62,14407,2025-04-05,"8.013,21",Cerrado,,8013.21,fecha_invalida
63,22281,2025/07/07,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
64,10093,2025-11-30,"11.004,28",Cerrado,,11004.28,fecha_invalida
65,19562,2025-05-29,"14,057.33",Cerrado,,14057.33,fecha_invalida
68,4916,2025-11-20,5792.24,,,5792.24,"fecha_invalida, estado_nulo"
69,14892,21/09/2025,14508.66,,,14508.66,"fecha_invalida, estado_nulo"
70,18587,18/12/2025,"5.912,93",Cerrado,,5912.93,fecha_invalida
71,19836,2025/01/14,5377.67,,,5377.67,"fecha_invalida, estado_nulo"
72,23320,20/02/2026,"7,245.79",,,7245.79,"fecha_invalida, estado_nulo"
73,14099,09-05-25,11459.27,Abierto,,11459.27,fecha_invalida
74,3314,23/10/2025,14502.38,Cerrado,,14502.38,fecha_invalida
75,9867,2025/08/16,"1.888,27",Abierto,,1888.27,fecha_invalida
76,18282,2025/08/02,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
77,8700,2025-09-05,"9.948,91",Abierto,,9948.91,fecha_invalida
79,7460,2025-08-21,11711.43,Cerrado,,11711.43,fecha_invalida
80,23359,2025-02-24,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
81,10359,20/10/2025,nan,Cerrado,,,"fecha_invalida, monto_nulo_o_no_numerico"
82,4048,21-02-2026,9909.58,,2026-02-21,9909.58,estado_nulo
83,16988,07-07-25,"14.090,71",,,14090.71,"fecha_invalida, estado_nulo"
84,2227,26/09/2025,"10.158,82",Abierto,,10158.82,fecha_invalida
85,7153,2026/01/23,5079.34,,,5079.34,"fecha_invalida, estado_nulo"
86,25554,13/03/2025,-,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
87,23591,2025/03/09,1777.81,Abierto,,1777.81,fecha_invalida
88,14027,2025/03/18,10253.14,Abierto,,10253.14,fecha_invalida
89,12761,04-22-25,"14.870,71",Abierto,,14870.71,fecha_invalida
90,21277,2025-05-21,6602.43,Rechazado,,6602.43,fecha_invalida
91,80,2025-12-09,"12.229,82",Abierto,,12229.82,fecha_invalida
92,13736,28/03/2025,nan,,,,"fecha_invalida, monto_nulo_o_no_numerico, estado_nulo"
94,15160,01-14-25,"3,322.55",,,3322.55,"fecha_invalida, estado_nulo"
95,17219,01-04-2025,4580.14,,2025-04-01,4580.14,estado_nulo
